Wavelength,Flux
5111.6,2.12E-12
5113,2.17E-12
5114.4,2.16E-12
5115.8,2.16E-12
5117.2,2.16E-12
5118.6,2.15E-12
5120,2.13E-12
5121.4,2.12E-12
5122.8,2.09E-12
5124.2,2.04E-12
5125.6,2.00E-12
5127,2.02E-12
5128.4,2.02E-12
5129.8,2.03E-12
5131.2,2.05E-12
5132.6,2.08E-12
5134,2.07E-12
5135.4,2.06E-12
5136.8,2.03E-12
5138.2,2.00E-12
5139.6,2.00E-12
5141,2.03E-12
5142.4,2.01E-12
5143.8,2.02E-12
5145.2,2.04E-12
5146.6,2.07E-12
5148,2.05E-12
5149.4,2.06E-12
5150.8,2.08E-12
5152.2,2.07E-12
5153.6,2.03E-12
5155,2.01E-12
5156.4,2.05E-12
5157.8,2.08E-12
5159.2,2.09E-12
5160.6,2.09E-12
5162,2.05E-12
5163.4,2.00E-12
5164.8,1.95E-12
5166.2,1.88E-12
5167.6,1.83E-12
5169,1.82E-12
5170.4,1.84E-12
5171.8,1.86E-12
5173.2,1.87E-12
5174.6,1.92E-12
5176,2.00E-12
5177.4,2.04E-12
5178.8,2.02E-12
5180.2,1.98E-12
5181.6,1.95E-12
5183,1.90E-12
5184.4,1.85E-12
5185.8,1.85E-12
5187.2,1.90E-12
5188.6,1.93E-12
5190,1.93E-12
5191.4,1.91E-12
